id_struk,waktu_transaksi,kode_outlet,kode_menu,jumlah_item,harga_satuan,hpp_satuan,total_bruto,nominal_diskon,total_netto,margin_profit,metode_bayar,tipe_pesanan
FNB-20250001,2025-10-28 08:25:00,OUT-02,MNU-09,10,22000,10000,220000,22000,198000,98000,Tunai / Cash,Takeaway
FNB-20250002,2025-06-13 09:30:00,OUT-04,MNU-09,1,22000,10000,22000,4400,17600,7600,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250003,2025-05-16 20:33:00,OUT-04,MNU-07,10,24000,9000,240000,0,240000,150000,Kartu Kredit,Dine In
FNB-20250004,2025-06-10 19:58:00,OUT-03,MNU-05,1,90000,52000,90000,4500,85500,33500,Kartu Kredit,Online Delivery Instant
FNB-20250005,2025-12-13 16:37:00,OUT-02,MNU-09,5,22000,10000,110000,11000,99000,49000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250006,2025-12-12 15:57:00,OUT-04,MNU-07,1,24000,9000,24000,2400,21600,12600,Kartu Kredit,Dine In
FNB-20250007,2025-05-12 07:35:00,OUT-02,MNU-05,1,90000,52000,90000,0,90000,38000,Kartu Kredit,Dine In
FNB-20250008,2025-10-27 10:24:00,OUT-04,MNU-01,1,75000,42000,75000,0,75000,33000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250009,2025-09-20 09:58:00,OUT-05,MNU-02,4,85000,48000,340000,0,340000,148000,QRIS / E-Wallet,Catering & Parcel
FNB-20250010,2025-02-21 13:08:00,OUT-04,MNU-09,3,22000,10000,66000,0,66000,36000,Tunai / Cash,Online Delivery Instant
FNB-20250011,2025-03-17 16:02:00,OUT-03,MNU-08,10,28000,12000,280000,42000,238000,118000,Kartu Kredit,Online Delivery Instant
FNB-20250012,2025-03-20 19:39:00,OUT-03,MNU-03,1,68000,36000,68000,0,68000,32000,Tunai / Cash,Dine In
FNB-20250013,2025-07-12 16:24:00,OUT-01,MNU-10,2,55000,28000,110000,11000,99000,43000,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250014,2025-06-20 07:33:00,OUT-02,MNU-04,1,82000,45000,82000,0,82000,37000,Kartu Kredit,Online Delivery Instant
FNB-20250015,2025-12-24 19:13:00,OUT-05,MNU-07,2,24000,9000,48000,9600,38400,20400,QRIS / E-Wallet,Takeaway
FNB-20250016,2025-11-13 07:46:00,OUT-02,MNU-06,3,45000,24000,135000,13500,121500,49500,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250017,2025-12-27 12:25:00,OUT-02,MNU-09,2,22000,10000,44000,6600,37400,17400,Kartu Kredit,Dine In
FNB-20250018,2025-12-14 08:52:00,OUT-05,MNU-04,3,82000,45000,246000,36900,209100,74100,Tunai / Cash,Online Delivery Instant
FNB-20250019,2025-03-28 16:08:00,OUT-04,MNU-08,2,28000,12000,56000,0,56000,32000,Tunai / Cash,Takeaway
FNB-20250020,2025-05-03 19:05:00,OUT-03,MNU-04,1,82000,45000,82000,0,82000,37000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250021,2025-11-12 19:57:00,OUT-02,MNU-10,1,55000,28000,55000,2750,52250,24250,Tunai / Cash,Online Delivery Instant
FNB-20250022,2025-12-10 21:42:00,OUT-05,MNU-05,2,90000,52000,180000,0,180000,76000,QRIS / E-Wallet,Catering & Parcel
FNB-20250023,2025-12-11 21:02:00,OUT-02,MNU-03,2,68000,36000,136000,0,136000,64000,Tunai / Cash,Dine In
FNB-20250024,2025-02-28 18:53:00,OUT-03,MNU-06,1,45000,24000,45000,0,45000,21000,Kartu Kredit,Dine In
FNB-20250025,2025-09-29 09:40:00,OUT-03,MNU-02,2,85000,48000,170000,0,170000,74000,Tunai / Cash,Online Delivery Instant
FNB-20250026,2025-04-25 17:00:00,OUT-01,MNU-10,4,55000,28000,220000,0,220000,108000,Kartu Kredit,Online Delivery Instant
FNB-20250027,2025-01-14 21:59:00,OUT-03,MNU-08,2,28000,12000,56000,2800,53200,29200,Kartu Kredit,Takeaway
FNB-20250028,2025-07-04 09:45:00,OUT-03,MNU-07,1,24000,9000,24000,0,24000,15000,Kartu Kredit,Dine In
FNB-20250029,2025-07-03 10:49:00,OUT-01,MNU-03,4,68000,36000,272000,0,272000,128000,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250030,2025-06-05 21:28:00,OUT-04,MNU-08,3,28000,12000,84000,0,84000,48000,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250031,2025-02-13 15:13:00,OUT-05,MNU-05,2,90000,52000,180000,0,180000,76000,QRIS / E-Wallet,Takeaway
FNB-20250032,2025-01-27 10:40:00,OUT-03,MNU-10,1,55000,28000,55000,0,55000,27000,Kartu Kredit,Online Delivery Instant
FNB-20250033,2025-11-03 07:47:00,OUT-04,MNU-02,3,85000,48000,255000,0,255000,111000,Tunai / Cash,Dine In
FNB-20250034,2025-03-06 10:40:00,OUT-03,MNU-04,2,82000,45000,164000,0,164000,74000,Tunai / Cash,Catering & Parcel
FNB-20250035,2025-10-24 15:15:00,OUT-02,MNU-09,2,22000,10000,44000,6600,37400,17400,Tunai / Cash,Catering & Parcel
FNB-20250036,2025-02-11 09:24:00,OUT-05,MNU-02,1,85000,48000,85000,4250,80750,32750,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250037,2025-10-22 18:46:00,OUT-02,MNU-03,2,68000,36000,136000,13600,122400,50400,Kartu Debit BSI / Mandiri,Dine In
FNB-20250038,2025-06-18 12:29:00,OUT-03,MNU-05,1,90000,52000,90000,0,90000,38000,Kartu Debit BSI / Mandiri,Online Delivery Instant
FNB-20250039,2025-10-02 10:23:00,OUT-03,MNU-02,1,85000,48000,85000,0,85000,37000,Tunai / Cash,Catering & Parcel
FNB-20250040,2025-10-11 15:53:00,OUT-04,MNU-10,1,55000,28000,55000,8250,46750,18750,Tunai / Cash,Takeaway
FNB-20250041,2025-03-05 10:00:00,OUT-01,MNU-05,1,90000,52000,90000,0,90000,38000,QRIS / E-Wallet,Online Delivery Instant
FNB-20250042,2025-10-15 21:47:00,OUT-04,MNU-09,2,22000,10000,44000,0,44000,24000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250043,2025-07-23 13:04:00,OUT-03,MNU-05,5,90000,52000,450000,22500,427500,167500,QRIS / E-Wallet,Catering & Parcel
FNB-20250044,2025-06-11 16:14:00,OUT-04,MNU-10,1,55000,28000,55000,0,55000,27000,Kartu Debit BSI / Mandiri,Takeaway
FNB-20250045,2025-01-31 12:45:00,OUT-04,MNU-02,1,85000,48000,85000,12750,72250,24250,Kartu Kredit,Dine In
FNB-20250046,2025-10-16 21:05:00,OUT-05,MNU-06,4,45000,24000,180000,9000,171000,75000,Tunai / Cash,Catering & Parcel
FNB-20250047,2025-06-03 17:34:00,OUT-03,MNU-08,10,28000,12000,280000,28000,252000,132000,Kartu Kredit,Catering & Parcel
FNB-20250048,2025-03-16 20:48:00,OUT-01,MNU-09,1,22000,10000,22000,0,22000,12000,QRIS / E-Wallet,Catering & Parcel
FNB-20250049,2025-06-12 14:00:00,OUT-02,MNU-03,1,68000,36000,68000,0,68000,32000,Kartu Debit BSI / Mandiri,Catering & Parcel
FNB-20250050,2025-09-11 19:07:00,OUT-02,MNU-01,2,75000,42000,150000,22500,127500,43500,Tunai / Cash,Catering & Parcel
FNB-20250051,2025-02-25 20:34:00,OUT-01,MNU-02,1,85000,48000,85000,0,85000,37000,Kartu Debit BSI / Mandiri,Dine In
FNB-20250052,2025-05-31 21:59:00,OUT-01,MNU-03,1,68000,36000,68000,3400,64600,28600,QRIS / E-Wallet,Online Delivery Instant
FNB-20250053,2025-01-26 17:53:00,OUT-02,MNU-04,1,82000,45000,82000,0,82000,37000,Tunai / Cash,Online Delivery Instant
FNB-20250054,2025-08-29 21:54:00,OUT-03,MNU-07,1,24000,9000,24000,0,24000,15000,Tunai / Cash,Takeaway
FNB-20250055,2025-01-05 07:12:00,OUT-02,MNU-01,1,75000,42000,75000,7500,67500,25500,QRIS / E-Wallet,Catering & Parcel
